stazione_id;data;inquinante;valore
"7";2014-02-06;PM10;20
"8";2014-02-06;C6H6;
"8";2014-02-06;CO_8h;1.3
"8";2014-02-06;NO2;80
"1";2014-02-07;NO2;97
"2";2014-02-07;C6H6;1.5
"2";2014-02-07;NO2;84
"2";2014-02-07;O3;37
"2";2014-02-07;PM10;24
"2";2014-02-07;PM25;17
"2";2014-02-07;SO2;2.5
"3";2014-02-07;CO_8h;1.2
"3";2014-02-07;NO2;130
"4";2014-02-07;C6H6;1.5
"4";2014-02-07;CO_8h;2
"4";2014-02-07;NO2;101
"5";2014-02-07;NO2;97
"5";2014-02-07;O3;40
"6";2014-02-07;C6H6;1.5
"6";2014-02-07;CO_8h;1.5
"6";2014-02-07;NO2;81
"6";2014-02-07;PM10;25
"6";2014-02-07;PM25;20
"7";2014-02-07;NO2;86
"7";2014-02-07;O3;38
"7";2014-02-07;PM10;17
"8";2014-02-07;C6H6;
"8";2014-02-07;CO_8h;1.6
"8";2014-02-07;NO2;97
"1";2014-02-08;NO2;106
"2";2014-02-08;C6H6;1.5
"2";2014-02-08;NO2;70
"2";2014-02-08;O3;6
"2";2014-02-08;PM10;31
"2";2014-02-08;PM25;26
"2";2014-02-08;SO2;5
"3";2014-02-08;CO_8h;1.5
"3";2014-02-08;NO2;153
"4";2014-02-08;C6H6;3
"4";2014-02-08;CO_8h;2.3
"4";2014-02-08;NO2;85
"5";2014-02-08;NO2;91
"5";2014-02-08;O3;6
"6";2014-02-08;C6H6;3
"6";2014-02-08;CO_8h;1.6
"6";2014-02-08;NO2;80
"6";2014-02-08;PM10;33
"6";2014-02-08;PM25;29
"7";2014-02-08;NO2;82
"7";2014-02-08;O3;8
"7";2014-02-08;PM10;27
"8";2014-02-08;C6H6;
"8";2014-02-08;CO_8h;2
"8";2014-02-08;NO2;97
"1";2014-02-09;NO2;78
"2";2014-02-09;C6H6;1.5
"2";2014-02-09;NO2;56
"2";2014-02-09;O3;33
"2";2014-02-09;PM10;32
"2";2014-02-09;PM25;25
"2";2014-02-09;SO2;5
"3";2014-02-09;CO_8h;1.3
"3";2014-02-09;NO2;102
"4";2014-02-09;C6H6;1.5
"4";2014-02-09;CO_8h;2
"4";2014-02-09;NO2;76
"5";2014-02-09;NO2;74
"5";2014-02-09;O3;34
"6";2014-02-09;C6H6;1.5
"6";2014-02-09;CO_8h;1.4
"6";2014-02-09;NO2;78
"6";2014-02-09;PM10;31
"6";2014-02-09;PM25;28
"7";2014-02-09;NO2;79
"7";2014-02-09;O3;27
"7";2014-02-09;PM10;25
